,Word,Appearances
126,Prefered,3
127,against,2482
128,her,5029
129,Lane|Lane]],6
130,[[unchristian,6
131,conduct|unchristian,5
132,conduct]],6
133,after,4194
134,which,15846
135,Brother,12297
136,[[Jefferson,45
137,Turnbow|Jefferson,6
138,Turnbow]],21
139,upon,14757
140,Who,171
141,arose,868
142,stated,428
143,that,50464
144,he,20034
145,seen,1004
146,Benton|Benton]],30
147,some,9459
148,man,5386
149,lying,204
150,pallet,2
151,together,1501
152,[[Margaret,204
153,Thompson,1435
154,McMeans,98
155,Adkins,134
156,Smoot|Margaret,9
157,Atkinson]],12
158,made,4951
159,fals,122
160,statements,76
161,about,7623
162,her.,197
163,[[Matilda,63
164,Kelly,25
165,Lane,41
166,Clements|Matilda,4
167,bore,401
168,testimony,1472
169,truth,1098
170,what,6105
171,Smoot|Akinson]],2
172,further,512
173,said,5859
174,[she],3
175,could,5660
176,not,25217
177,be,32468
178,reconciled,43
179,unless,551
180,she,2917
181,repented,24
182,confessed,44
183,sins.,46
184,Was,142
185,permitted,210
186,speak,980
187,herself,74
188,Which,118
189,did,4404
190,do,10749
191,sins,347
192,when,8111
193,again,2009
194,receieved,151
195,church,1831
196,[[full,4
197,fellowship|full,4
198,fellowship]],5
199,voice,592
200,church.,175
201,Clerk,184
202,Chairman,68
203,"11,",975
204,Sunday,7551
205,^11th^,3
206,Br,5207
207,[[John,10728
208,Camp|Camps]],23
209,Preached,1303
210,his,20999
211,communed,85
212,Saints,4894
213,Spent,490
214,night,6389
215,[[Lewis,318
216,Clapp|Clapps]],40
217,^4.,1
218,m[iles]^,9
219,"12,",968
220,Monday,3809
221,Walked,90
222,Lane|Lanes]],27
223,spent,12200
224,writing.,76
225,4,3707
226,"13,",957
227,Tuesday,3286
228,13,1499
229,writing,1373
230,"14,",1001
231,Wednesday,3148
232,14th,668
233,writings,47
234,felt,1782
235,unwell,383
236,{in,36
237,an,9845
238,uncommon,24
239,bile,6
240,or,12696
241,biles},2
242,evening,2503
243,walked,1620
244,quite,2510
245,lame,134
246,{Distance},37
247,5,3446
248,"15,",948
249,Thursday,3204
250,15th,589
251,"16,",973
252,Friday,3345
253,16th,560
254,[[Oliver,277
255,Drown|Drowns]],6
256,"17,",1013
257,17th,560
258,Returned,138
259,soon,2788
260,I,123750
261,happy,482
262,Privilege,18
263,another,1478
264,interview,928
265,Presidents,823
266,[[Thomas,2643
267,Baldwin,168
268,"Marsh|Marsh]],",2
269,[[David,1663
270,Wyman,210
271,Patten|Patten]],62
272,[[Elisha,117
273,Hurd,33
274,Groves|Grooves]],4
275,[[Phoebe,600
276,Ann,628
277,Babcock,34
278,Patten,436
279,Bentley|Sister,12
280,Patten]],96
281,came,3844
282,two,4553
283,horse,489
284,waggon,580
285,bound,292
286,Zion,1714
287,[[Missouri|Missouri]],240
288,We,10794
289,tarried,59
290,Camps,10
291,"18,",944
292,18th,636
293,met,5357
294,[[Henry,1413
295,Loy|Henry,8
296,Loys]],4
297,meeting,4499
298,time.,1242
299,Marsh|Marsh]],23
300,Exertations,1
301,from,23070
302,Groves|Grooves]].,1
303,Boydston|Boydstun]].,4
304,[[Abraham,1661
305,Owen,1401
306,Smoot|Smoot]].,12
307,[[Daniel,1738
308,Cathcart|Cathcart]].,5
309,requested,355
310,[[laying,256
311,hands|lay,24
312,hands]],196
313,me,17198
314,Sickness,25
315,[[lameness|lameness]],2
316,they,19545
317,healed,213
318,both,1730
319,Brethren,1317
320,"19,",953
321,19th,592
322,Is,214
323,long,2043
324,Be,274
325,remembered,183
326,others,2210
327,Consequence,5
328,interesting,1202
329,scenes,168
330,transpir'd,2
331,God,12058
332,South,741
333,(OT)|Isaiah]],41
334,Ancient,119
335,Prophets,467
336,testify,99
337,great,5973
338,events,245
339,last,4289
340,days,3510
341,esspecially,123
342,literal,46
343,[[gathering,11
344,Israel|gathering,6
345,Israel]].,8
346,They,2200
347,say,5068
348,shall,5802
349,gather,520
350,East,632
351,West,359
352,North,1073
353,give,3168
354,up,9310
355,Keep,54
356,back,1221
357,This,3073
358,now,4722
359,yea,79
360,began,478
361,their,13899
362,"families,",64
363,Charriots,2
364,Waggons,11
365,"Oxen,",6
366,Horses,306
367,Tents,4
368,armour,49
369,moove,18
370,towards,481
371,as,30903
372,[[children,13
373,Israel|children,11
374,Israel]],81
375,accordi-,1
376,ng,42
377,command,207
378,follows,153
379,breakfasted,5
380,repaired,97
381,bank,235
382,stream,190
383,whare,1126
384,Prayers,101
385,were,13812
386,offer'd,3
387,unto,3700
388,President,10449
389,led,521
390,young,1493
391,waters,175
392,baptism,286
393,confirmed,548
394,under,2880
395,hands,2515
396,Marsh,55
397,then,6851
398,stood,488
399,our,17552
400,feet,1843
401,Blessings,185
402,heads,328
403,uplifted,35
404,three,2133
405,above,1171
406,named,462
407,being,3743
408,speaker,189
409,took,4689
410,parting,345
411,hand,2931
412,these,4822
413,Beloved,185
414,[[servants|servents]],2
415,Bentley|Patten]],8
416,also,5504
417,friends,1628
418,seat,218
419,set,2128
420,faces,90
421,flint,15
422,Waiting,8
423,those,3890
424,same,3247
425,ware,92
426,follow,564
427,example,169
428,Ox,16
429,teams.,12
430,Soon,86
431,brethren,1849
432,left,3479
433,[[Albert,752
434,Petty|Albert,32
435,Petty]],57
436,[[Cypress,15
437,"Creek,",643
438,Benton,79
439,Tennessee|Cyprus]],14
440,branch,455
441,family,3301
442,join,230
443,[[Terrapin,31
444,Calloway,158
445,Graves,59
446,"Counties,",176
447,Kentucky|Taropen]],28
448,Branch,358
449,going,2330
450,Zion.,442
451,After,1296
452,spending,188
453,short,1271
454,time,10972
455,aranging,16
456,waggons,474
457,teems,7
458,prepared,1058
459,move,272
460,forward,632
461,consisted,121
462,families,533
463,Clapp|Lewis,16
464,Clapp]],88
465,"family,",307
466,Camp|John,12
467,Camp]],57
468,AlBert,1
469,Petty,25
470,Clapp|Benjamin,54
471,family.,336
472,Also,698
473,Boydston|Boydstun]],28
474,Cathcart|Cathcart]],30
475,chose,91
476,Benjamin,182
477,Boydstun,7
478,leader,122
479,road,795
480,[[Zion|zion]],7
481,this,26034
482,south,445
483,principly,20
484,first,4167
485,fruits,143
486,my,30474
487,ministry,155
488,Baptized,1016
489,[[Warren,333
490,Farr,274
491,Parrish|Parrish]],53
492,numbered,109
493,six,762
494,male,71
495,members,939
496,five,943
497,female,105
498,children,2718
499,one,12801
500,[[servant|servant]],1
501,making,1182
502,22,1262
503,all.,318
504,faithful,908
505,saints,1482
506,taking,728
507,Kentucky|Taro,1
508,pen]],1
509,moved,636
510,journey,544
511,good,7193
512,spirits,535
513,joy,321
514,{[On],2
515,[illegible],666
516,Martha,24
517,Barker,21
518,desired,341
519,return,1382
520,thinking,208
521,it,29022
522,too,545
523,leave,2252
524,friends.,194
525,immediately,439
526,before,6022
527,danger,196
528,returning,212
529,Babylon,128
530,encouraged,54
531,became,371
532,continued,780
533,journey.},3
534,them,12430
535,travel,375
536,far,1609
537,fork,49
538,"[[Mayfield,",33
539,Kentucky|Mayfield]],6
540,camped,745
541,pitching,21
542,tents,106
543,supper,415
544,assembled,310
545,small,1057
546,[[Camp,68
547,Israel|camp,1
548,Pettys]],5
549,tent,144
550,address,593
551,although,422
552,rain,439
553,desended,19
554,torrents,4
555,so,8187
556,wer,75
557,e,23
558,yet,1817
559,soul,368
560,vibrated,11
561,fired,81
562,emotions,6
563,feeling,611
564,no,5874
565,ordinary,57
566,nature,207
567,endeavor'd,2
568,lay,1134
569,worth,333
570,value,174
571,cause,955
572,ingaged,60
573,fullfiling,3
574,spake,91
575,keeping,305
576,would,13951
577,recorded,276
578,archives,1
579,heaven,834
580,read,2046
581,eternity,160
582,spread,249
583,instructed,133
584,way,2867
585,covenanted,45
586,heed,118
587,Boydston|Boydstuns]],2
588,precepts,26
589,chosen,445
590,him,11524
591,When,1469
592,closed,579
593,followed,2193
594,By,2786
595,"Boydstun,",2
596,"Cathcart|Cathcart,]]",2
597,[[spirit,329
598,God|spirit,122
599,God]],534
600,deepest,50
601,interest,927
602,edifying,47
603,kneeling,8
604,addressed,971
605,throne,89
606,grace,163
607,implored,11
608,[[mercy,4
609,God|mercy,4
610,rest,1249
611,camp,998
612,might,1793
613,reach,330
614,zion,25
615,Peace,101
616,8,2838
617,"20,",1000
618,20th,664
619,found,2772
620,well,4035
621,notwithstanding,162
622,severity,15
623,weather,337
624,Breakfased,1
625,Petty|Pettys]],27
626,untill,2083
627,meet,1569
628,elswhare,1
629,(May,6
630,blessings,1252
631,forever),3
632,Mr,3188
633,[[Mr.,195
634,Calvert|Calverts]],1
635,ford,51
636,[[Brush,4
637,Kentucky|Brush,2
638,Creek]],404
639,County,556
640,night.,478
641,Distance,502
642,20,2966
643,"21,",940
644,21st,588
645,visiting,486
646,neighbourhood,33
647,Johnston|Johnstons]],2
648,6,3533
649,"22,",918
650,Frazier|Frazier]],1
651,Kentucky|brush,2
652,creek]],75
653,got,3632
654,subscriber,31
655,[[Latter,121
656,Day,1535
657,Saints|M,24
658,Ad.]],1
659,opposed,168
660,[[Presbyterian|Pryspet]],1
661,erian,1
662,Priest,703
663,wrote,5569
664,letter,6220
665,[[Susanna,52
666,Bishop|sister,1
667,Bishop]],31
668,"23,",928
669,23,1205
670,Rode,920
671,"[[Feliciana,",6
672,Kentucky|Feliciana]],4
673,thence,453
674,Dresden,2
675,difficulty,254
676,crossed,581
677,[[Obion,2
678,"River,",1507
679,Weakley,30
680,Tennessee|Obine]],2
681,swamp,39
682,creek,228
683,frequently,99
684,wallowing,8
685,cyprus,2
686,slues,5
687,nearly,974
688,water,1621
689,mud,164
690,[[Jeremiah,147
691,B.,2018
692,Murphy|Jere,2
693,Murphys]],10
694,[in],41
695,[[Weakley,21
696,Tennessee|weakly,2
697,county]],17
698,Tenn,92
699,rejoiced,207
700,find,1780
701,houshold,36
702,30,2463
703,"24,",999
704,24,1348
705,[[Randolph,114
706,Alexander|R,7
707,Alexanders]],8
708,"25,",928
709,Alexander|Alexanders]],15
710,persons,1320
711,because,1296
712,Murphy|Jeremiah,13
713,^B^,2
714,Murphy]],25
715,wife,1295
716,started,1214
717,Journey,268
718,visit,1302
719,"26,",961
720,26,1208
721,Wrote,110
722,Letters,3089
723,[[Abel,83
724,Wilson|Abel,15
725,B,761
726,Willson]],11
727,other,5321
728,Cowdery|O.,16
729,Cowdery]],64
730,"[[Kirtland,",492
731,Geauga,662
732,Ohio|Kirtland]],336
733,discontinued,20
734,Ad]],12
735,sent,3156
736,country,1118
737,"27,",982
738,27,1051
739,Joined,79
740,Smoot|Smoot]],184
741,[[Emanuel,19
742,Masters,33
743,Murphy|Immanuel,4
744,Murphy's]],3
745,15,2879
746,"28,",956
747,28,1180
748,"29,",901
749,29,859
750,returned,2571
751,[[Blood,65
752,Henry,2290
753,Tennessee|Bloody]],12
754,[[William,5912
755,Glasgow|William,1
756,Glasgow's]],1
757,"30,",945
758,{Distance,42
759,2,6260
760,October,2354
761,"1,",1366
762,Oct,1480
763,1st,1495
764,Alexander|Alexander]],20
765,{with,39
766,Murphy|Murphy]]},2
767,"2,",979
768,[[Simpson,22
769,Alexander|Simpsons,2
770,Alexander's]],5
771,"3,",955
772,3,4546
773,"4,",992
774,"5,",980
775,riding,110
776,barrens,2
777,cattle,450
778,12,3133
779,[miles],58
780,"6,",1055
781,6th,852
782,"7,",1056
783,7th,738
784,Smith|Warren,9
785,Smith]],4533
786,"[[Paris,",242
787,Tennessee|Paris]],69
788,Perhaps,69
789,place,2894
790,From,532
791,[[Johnathan,26
792,Alexander|Jonathan,1
793,candle,79
794,light,934
795,distane,3
796,m[iles],228
797,"8,",1028
798,8th,793
799,Alexander|Alexander]]},2
800,[[Levi,401
801,Taylor|Taylors]],108
802,"9,",971
803,9th,778
804,[[Sarah,1938
805,Frazier,10
806,Turpin,9
807,Brailey,3
808,Sharp,53
809,Murray|Fraziers]],2
810,Alexander|Johnathan,3
811,18,1670
812,Persons,170
813,[[Lydia,183
814,Alexander,141
815,Smith|wife]],17
816,Alexander|Alexan,1
817,der]],1
818,[[Myrza,5
819,Nix,5
820,Alexander|wife]],4
821,[[Sulphur,23
822,"Well,",87
823,Metcalfe,4
824,Kentucky|Sulpher,3
825,Well]],9
826,Academy,239
827,funeral,431
828,sermon,279
829,widow,59
830,[[Elizabeth,492
831,Autry,3
832,Frazier|Fraziers]],4
833,Br's,16
834,[[Jesse,708
835,Turpin|Turpin]],23
836,much,5852
837,rested,488
838,11th,665
839,^saints^,3
840,Kentucky|Bloody]],22
841,Priests,282
842,together.,135
843,May,4873
844,protect,118
845,save,638
846,Smith|Smiths]],17
847,11,1630
848,12th,563
849,Retired,3
850,Smoot|A.,239
851,O.,1316
852,Smoot]],388
853,banks,78
854,Kentucky|Blood,4
855,River]],412
856,aside,133
857,abodes,12
858,men,4656
859,spend,538
860,Praise,27
861,Perform,7
862,solemn,67
863,duty,1144
864,rquired,2
865,Israel,1098
866,whose,551
867,rejected,204
868,generation,519
869,while,3711
870,are,18109
871,preaching,713
872,gospel,1675
873,Jesus,3276
874,Christ,3019
875,bearing,295
876,NAME,5
877,[[cleansed|Cleansed]],2
878,Bodies,22
879,Pure,7
880,[[strong,6
881,drink|strong,6
882,drink]],5
883,commandment,120
884,choice,153
885,accor,5
886,ding,41
887,[[cleansed|clensed]],4
888,[[Benton,24
889,Tennessee|Ben-,1
890,ton,57
891,mob,424
892,many,6026
893,enjo,1
894,yed,7
895,"solumn,",2
896,"spiritual,",29
897,Season,30
898,retired,177
899,Taylor|Levi,16
900,Taylors]],31
901,[[Leonora,56
902,Cannon,661
903,Taylor|Sister,10
904,Tailors]],1
905,With,763
906,Sisters,184
907,Beneath,1
908,roof,140
909,have,34088
910,most,3230
911,seasons,63
912,life,1972
913,years,3684
914,subscribers,123
915,13th,615
916,Took,65
917,Taylor|Brother]],2
918,Taylor]],1547
919,household,98
920,travled,566
921,Ohio,141
922,14,1848
923,Travled,130
924,[[Isaac,548
925,Hendricks|Hendricks]],13
926,[[Alfred,414
927,Loy|Alfred,10
928,Loy]],19
929,Kelly|Kelleys]],3
930,16,1576
931,[[Joseph,8744
932,Greenwood|Father,1
933,Grennwoods]],1
934,[[baptized|Bapt-,1
935,ized]],1
936,Mrs,1032
937,[[Mary,1275
938,Kelly|Mary,2
939,Kelly]],12
940,17,1238
941,[[Damon,37
942,Kentucky|Damonds,19
943,Calaway,8
944,Thomas,604
945,Jr.|Henry,30
946,Thomas'es]],16
947,mil,62
948,"Thomas,",33
949,b.,7063
950,1758|Father,1
951,Spiritual,18
952,{I,117
953,constrained,32
954,prophecy|spirit,13
955,prophecy]],3
956,inform,467
957,1758|father]],1
958,[[Rachel,71
959,Stillwell,77
960,Thomas|mother,1
961,Thomas]],192
962,stand,1183
963,sin,365
964,died},1
965,19,1051
966,colleagues,7
967,[[James,3370
968,C.,3431
969,Beaty|Beatys]],8
970,[[Clarks,28
971,Kentucky|Clarks,22
972,copying,36
973,journal,88
974,21,1061
975,Beaty|Beaty]],7
976,[[baptized|Baptised]],1
977,1,4070
978,[[Judith,13
979,Scott,43
980,23rd,576
981,Baptised,53
982,Beaty,11
983,Hill|Daughter]],2
984,Ordained,324
985,James,457
986,Office,544
987,Preacher,25
988,Christian,397
989,order,1586
990,several,2646
991,years.,404
992,Communed,7
993,Sains,1
994,spiritual,227
995,within,709
996,limits,34
997,Tennesse,6
998,Latter,930
999,24th,583
1000,"[[Paducah,",19
1001,McCracken,23
1002,Kentucky|Paducah]],14
1003,Mccracken,4
1004,KY,40
1005,Benton|Brother,1
1006,Bentons]],2
1007,distans,15
1008,25th,456
1009,For,627
1010,went,6597
1011,aboard,44
1012,Steam,33
1013,Boat,107
1014,birth,199
1015,AID,6
1016,o'clock,324
1017,AM,70
1018,names,490
1019,Islands,298
1020,passed,1160
1021,Tennessee,59
1022,Cumberland,332
1023,Three,121
1024,sisters,370
1025,Golconda,2
1026,island,64
1027,Town,119
1028,past,984
1029,"[[Smithland,",3
1030,Livingston,41
1031,Kentucky|Smithland]],3
1032,100,772
1033,mile,535
1034,26th,470
1035,Tempest,2
1036,Aid,14
1037,7,2138
1038,A.M.,62
1039,While,494
1040,wooding,2
1041,Cincinnati,17
1042,"toehead,",1
1043,"Wabash,",2
1044,"Dimonds,",2
1045,Towns,24
1046,"Shawney,",2
1047,Mount,121
1048,Vernon,6
1049,Ivensville,2
1050,Remained,14
1051,"[[Evansville,",2
1052,Vanderburgh,2
1053,Indiana|Ivensville]],2
1054,over,4683
1055,abot,138
1056,mouth,537
1057,Wabash,9
1058,River,316
1059,purchased,120
1060,cloak,33
1061,Smith|William,27
1062,dek,3
1063,board,710
1064,paid,1086
1065,$5.00,44
1066,dollars,801
1067,Paid,379
1068,$2.00,33
1069,passage,195
1070,27th,553
1071,Left,295
1072,A.M,11
1073,HAVANA.,2
1074,"Sprinkelsburg,",1
1075,"[[Owensboro,",2
1076,Daviess,30
1077,Kentucky|Owensborough]],1
1078,"[[Troy,",8
1079,Perry,179
1080,Indiana|Troy]],1
1081,"[[Hawesville,",2
1082,Hancock,1654
1083,"Kentucky|Hayville]],",2
1084,"[[Cloverport,",2
1085,Breckinridge,2
1086,Kentucky|Clover]],1
1087,"[[Rome,",25
1088,Indiana|Rome]],1
1089,cast,479
1090,Anchor,10
1091,oclock,734
1092,fog,20
1093,28th,589
1094,Raised,15
1095,steam,117
1096,run,579
1097,aground,9
1098,liberated,47
1099,without,2464
1100,damage,81
1101,cleared,82
1102,boat,444
1103,sunk,56
1104,struck,227
1105,snag,4
1106,stove,28
1107,hull,5
1108,down.,82
1109,Boats,16
1110,Havana,5
1111,broak,46
1112,Wheel,3
1113,flat,48
1114,Bottom,43
1115,Passed,54
1116,New,3139
1117,Albany,97
1118,P.M.,149
1119,entered,403
1120,canal,109
1121,[[Ohio,14
1122,"Falls,",57
1123,Clark,223
1124,Indiana|Ohio,2
1125,falls]],27
1126,locks,31
1127,"[[Louisville,",29
1128,Jefferson,111
1129,Kentucky|Louisville]],10
1130,$2.50,28
1131,cts,348
1132,"Havana,",1
1133,KETON,2
1134,Capt,413
1135,per,772
1136,hour,1344
1137,steamers,13
1138,anchor,31
1139,Luisville,7
1140,bout,51
1141,"[[Cincinnati,",97
1142,Hamilton,165
1143,Ohio|Cincinnati]],65
1144,myself,2271
1145,kinsman,8
1146,"[[Owenton,",13
1147,Kentucky|Owington]],8
1148,visited,1884
1149,since,2208
1150,age,853
1151,Fran-,8
1152,kford,1
1153,turnpike,9
1154,put,1896
1155,tavern,21
1156,Middletown,4
1157,"[[Boston,",391
1158,Nelson,140
1159,Kentucky|Boston]],2
1160,"[[Simpsonville,",2
1161,Shelby,51
1162,Kentucky|Simpsonsville]],2
1163,"[[Shelbyville,",4
1164,Kentucky|Shelbyville]],4
1165,Shelbyville,2
1166,Staples,3
1167,Inn,78
1168,Clemmons,2
1169,ferry,183
1170,Kentucky,25
1171,river,513
1172,below,251
1173,"[[Frankfort,",16
1174,Franklin,438
1175,Kentucky|Frankford]],2
1176,Rowlett|William,2
1177,Rowletts]],16
1178,uncle,91
1179,Smoot|Smoots]],34
1180,"31,",587
1181,31st,396
1182,Green,145
1183,Smoot,220
1184,Bishop|Elizabeth,4
1185,Smoots]],24
1186,sister,706
1187,law,792
1188,affecting,25
1189,between,829
1190,ever,2752
1191,met[.],1
1192,col,12
1193,Rowlett|Joseph,6
1194,kinn,2
1195,Smoots,13
1196,me[t],2
1197,welcome,169
1198,reception,123
1199,m,662
1200,November,2042
1201,Nov,1171
1202,Rowlett|col,5
1203,Journal,524
1204,i.e.,8
1205,4th,882
1206,number,1311
1207,interviews,46
1208,Clements|William,2
1209,Clements]],29
1210,A,5966
1211,[[American,125
1212,Revolution|Revolutionary]],3
1213,soldier,27
1214,aged,282
1215,83,62
1216,perusing,19
1217,title,64
1218,PRINCIPLES,2
1219,OF,1418
1220,NATURE,2
1221,BY,243
1222,[[Elihu,2
1223,Palmer|ELIHU,2
1224,PALMER]],2
1225,[FIGURE],6016
1226,1806,15
1227,third,272
1228,edition,30
1229,Deism,1
1230,see,4596
1231,Page,217
1232,preached,2257
1233,Reed,36
1234,Smoot|William,8
1235,Sold,14
1236,[[Book,229
1237,Mormon|Book,171
1238,Mormon]],119
1239,Kentucky|Owenton]],2
1240,[[election|election]],2
1241,vote,308
1242,&amp;c,1289
1243,Judges,146
1244,endeav,1
1245,o^u^red,1
1246,deprive,54
1247,voting,22
1248,employing,13
1249,Rowlett|Col,5
1250,Rowlett]],7
1251,favor,787
1252,gave,3127
1253,[[Martin,104
1254,Van,282
1255,Buren|Martin,1
1256,Vanburen]],1
1257,Col,502
1258,[[Richard,385
1259,Mentor,5
1260,Johnson|R.,2
1261,M.,2589
1262,Johnson]],354
1263,Vice,74
1264,[[Reed,14
1265,Smoot|Reed,2
1266,{and,45
1267,night},6
1268,{writing},1
1269,[[Gustavus,6
1270,A.,3715
1271,Clements|Gustavus,4
1272,[[Jacob,566
1273,Rasor|Jacob,2
1274,Rasors]],1
1275,Rowlett|Col.,1
1276,Procured,48
1277,Saints|M[essenger],34
1278,Ad[vocate].]],16
1279,large,1889
1280,congregation,771
1281,inn,14
1282,Brown|William,3
1283,Browns]],13
1284,Parting,44
1285,Hue|Esq,1
1286,Hues]],1
1287,big,176
1288,bone,84
1289,lick,15
1290,Visited,16
1291,[[Big,158
1292,Bone,20
1293,"Lick,",9
1294,Boone,16
1295,Kentucky|big,6
1296,lick]],5
1297,Place,114
1298,[[fossils|large,2
1299,bones]],2
1300,enormous,9
1301,size,111
1302,dug,125
1303,earth,1718
1304,exhibited,32
1305,Parts,15
1306,America,418
1307,Europe,71
1308,conjectured,2
1309,animals,99
1310,mired,14
1311,Perished,3
1312,judged,55
1313,measurment,2
1314,bones,154
1315,animal,27
1316,36,272
1317,length,294
1318,highth,30
1319,No,1563
1320,record,551
1321,gives,248
1322,account,1218
1323,Will,605
1324,[[Nephites|Nephites]],8
1325,tell,1303
1326,Sandford|Sandford]],2
1327,Went,96
1328,"[[Covington,",6
1329,Miami,15
1330,Ohio|Covington]],3
1331,Crossed,36
1332,United,2329
1333,States|Ohio,4
1334,city,1419
1335,saw,2155
1336,Conway,12
1337,Webster,93
1338,informed,765
1339,[[Asahel,991
1340,Hart,1936
1341,"Woodruff,",4493
1342,1814|Asahel,80
1343,H,1676
1344,Woodruff]],1540
1345,located,118
1346,himself,934
1347,[[Terre,73
1348,"Haute,",73
1349,Vigo,74
1350,Indiana|Terrehaute,2
1351,Indiania]],3
1352,traiding,18
1353,Books,298
1354,[[Robert,1101
1355,Smith|Robert,16
1356,Smith]].,259
1357,Dead,348
1358,wounded,103
1359,carried,633
1360,off,1741
1361,Steem,39
1362,FLORA.,1
1363,dead,1083
1364,scalded,11
1365,bursting,11
1366,pipes,34
1367,Robert,165
1368,Emmet,14
1369,Emmett,5
1370,trav,3
1371,during,1935
1372,"[[Portsmouth,",25
1373,Scioto,5
1374,Ohio|Portsmouth]],2
1375,118,36
1376,In,4663
1377,Buck,31
1378,swiming,21
1379,down,3168
1380,yawl,2
1381,Persued,2
1382,deer,75
1383,overtook,57
1384,grappled,1
1385,"horns,",6
1386,nocked,4
1387,head,1292
1388,oars,15
1389,cut,950
1390,throat,95
1391,brought,1448
1392,steem,69
1393,stuck,30
1394,liberty,385
1395,pole,36
1396,horns,26
1397,guide,227
1398,Pilot.,1
1399,"[[Parkersburg,",6
1400,Wood,172
1401,Virginia|Parkersburg]],2
1402,162,31
1403,Passage,18
1404,Board,724
1405,$3.50,14
1406,Proceded,7
1407,Past,29
1408,Homrily,1
1409,stop'd,2
1410,"[[Wheeling,",10
1411,Virginia|Wheeling]],3
1412,Virginia,11
1413,It,4445
1414,state,1087
1415,"[[Wellsville,",51
1416,Columbiana,17
1417,Ohio|Wellsville]],10
1418,137,26
1419,[[Samuel,1523
1420,Burwell|Samuel,6
1421,Burwells]],5
1422,[[Columbiana,1
1423,Ohio|Columbiania,1
1424,Burwell|Burwells]],1
1425,Burwell,2
1426,home,4754
1427,[two,14
1428,words,899
1429,illegible],41
1430,[him]},1
1431,stage,176
1432,$4.00,12
1433,fare,304
1434,"[[Chardon,",7
1435,Ohio|Chardon]],5
1436,[[Newton,208
1437,Trumbull,5
1438,Ohio|Nutons,2
1439,office,1788
1440,47,136
1441,Providentially,5
1442,Garlick,34
1443,Sherwood|Henry,5
1444,Sherwood]],4
1445,[[Tennessee|Tenne]],4
1446,Letter,2013
1447,33,271
1448,Sherwood|Sherwood]],16
1449,out,7518
1450,Smoot|S^m^oot]],1
1451,snowstorm,4
1452,sight,314
1453,[[Kirtland,131
1454,"Temple,",1798
1455,"Kirtland,",165
1456,Ohio|Temple]],35
1457,Lord,8073
1458,reached,389
1459,village,142
1460,truly,742
1461,rejoice,460
1462,mine,361
1463,eyes,496
1464,beheld,76
1465,built,714
1466,Revelation,184
1467,happiest,14
1468,Kirtland,201
1469,[[House,37
1470,Lord|House,8
1471,Lord]],172
1472,edified,28
1473,strike,76
1474,Smith,5776
1475,Jr.|Joseph,868
1476,Jr.]],207
1477,beloved,159
1478,rolling,112
1479,mighty,362
1480,[[work,47
1481,God|work,35
1482,seperated,60
1483,1/2,894
1484,amoung,30
1485,filled,839
1486,priviledg,2
1487,Parrish|Warren,83
1488,Parrish]],99
1489,acquainted,363
1490,companion,153
1491,[[Martha,116
1492,H.,3545
1493,Raymond,10
1494,Parrish|Parrish]].,3
1495,Ther,15
1496,enjoyment,65
1497,companions,61
1498,tribulations,35
1499,world,2609
1500,knows,219
1501,flows,10
1502,celestial,259
1503,source.,11
1504,conversing,157
1505,more,5118
